";""Country.name"";""Code"";""PoliticalCorruption_Index"";""GDP_per_capita"";""Lifespan_At_Birth"";""Netmigration"";""Overweight"";""Population_density"";""KWH_pp_pc"";""Military_expenditure"";""Pop_Growth"";""happiness_moyenne"""
"96;""Hungary"";""HUN"";0.468272727272727;16241.6567394781;75.8414634146342;15334;60.825;107.496391392705;26736.1455454545;1.28819211363636;-0.199636363636364;5.6783"
"103;""India"";""IND"";0.632;1932.74980570605;69.9405;-295442.75;18.85;454.810542884915;6421.32853636364;2.50976838181818;1.04672727272727;4.0748"
"104;""Indonesia"";""IDN"";0.736909090909091;3939.28791245128;69.73675;-36920.5;26.95;140.553841946858;7982.4861;0.809156320909091;0.950818181818182;5.2976"
"107;""Iraq"";""IRQ"";0.865636363636364;5400.17022134737;69.777625;55681.5;63.775;91.2557284692277;14473.5059545455;3.12758235454545;2.519;4.7329"
"108;""Ireland"";""IRL"";0.0301818181818182;79350.572272911;81.8780487804878;16010.875;59.75;69.9447396009742;36643.7490909091;0.308251826363636;1.14127272727273;6.9791"
"109;""Israel"";""ISR"";0.114;43710.3499084954;82.4344512195122;13704;63.8;402.741322653522;33521.1906363636;5.24826773636364;1.76336363636364;7.2551"
"110;""Italy"";""ITA"";0.188818181818182;34453.2587905297;82.9442073170732;60508;57.825;203.5127102867;29884.6543636364;1.44189135454545;-0.179181818181818;6.2178"
"111;""Jamaica"";""JAM"";0.142818181818182;5411.21205480237;72.2685;-11329;54.45;258.919944598338;12388.6403636364;1.20327067545455;0.199090909090909;5.7904"
"112;""Japan"";""JPN"";0.0834545454545454;38248.7647420039;83.9907012195122;149300.875;26.625;347.903244322512;41130.7252727273;0.988471824545455;-0.271545454545455;5.9668"
"113;""Jordan"";""JOR"";0.503727272727273;4174.26533305314;75.260125;280230.75;68.775;111.708721075292;10653.2045454545;4.53141452727273;3.78781818181818;4.7384"
"114;""Kazakhstan"";""KAZ"";0.819636363636364;10395.4936698907;72.13625;-14381.375;52.7;6.67750128615114;40450.1051818182;0.866924439090909;1.45945454545455;5.9968"
"115;""Kenya"";""KEN"";0.575636363636364;1764.74307339527;62.254375;-64867.875;24.6;85.9414934033024;1616.15870909091;1.16128067272727;2.08163636363636;4.4937"
"120;""Kuwait"";""KWT"";0.465;34305.5949795459;79.2475;39276.25;72.775;229.820906596832;110689.730181818;5.08935660909091;3.21972727272727;6.22311111111111"
"123;""Lao PDR"";""LAO"";0.762545454545455;2273.4393917518;67.202375;-14578.375;24.15;30.3439293279415;7898.94100909091;0.18989518;1.47036363636364;4.94222222222222"
"128;""Latvia"";""LVA"";0.097;17021.7600407929;74.6442073170732;-9906.5;57.325;31.2681232238914;22314.9747272727;1.81927014272727;-0.673363636363636;5.899"
"130;""Lebanon"";""LBN"";0.756;6815.49265569764;79.111875;-29307.875;67.15;583.342065819485;15635.5796363636;3.68030176363636;0.734727272727273;4.2999"
"131;""Lesotho"";""LSO"";0.503636363636364;1062.9020711647;52.257875;-3868.5;37.8;71.5907773386034;1805.25399090909;1.8609806;1.16481818181818;3.772375"
"132;""Liberia"";""LBR"";0.863636363636364;700.260384339448;60.26075;-21072;30.075;49.8540143964563;761.810136363636;0.64839151;2.07281818181818;4.1812"
"133;""Libya"";""LBY"";0.799727272727273;8248.51404233227;72.1895;3037.75;65.95;3.62290251366203;32025.4240909091;8.18815465;1.48445454545455;5.56444444444444"
"135;""Lithuania"";""LTU"";0.132090909090909;19464.8943956311;74.9807926829268;-17040.125;59.075;45.5581422585738;23606.0225454545;1.73325045;-0.329090909090909;6.2146"
"139;""Luxembourg"";""LUX"";0.027;118437.268668449;82.2725609756097;10327.25;58.1;230.730888980386;71532.2166363636;0.50087876;2.00018181818182;7.0996"
"140;""Madagascar"";""MDG"";0.817454545454545;487.172200679129;64.872625;85.125;23;45.0416235055957;534.346697272727;0.581218445454545;2.57718181818182;3.9687"
"141;""Malawi"";""MWI"";0.648818181818182;550.273020375663;62.288;-5957.375;22.65;190.0137851789;417.671671818182;0.712455180909091;2.67154545454545;3.7219"
"142;""Malaysia"";""MYS"";0.443909090909091;10593.1383861308;75.42275;79055.375;41.1;97.1573685723466;36695.0151818182;1.15111701272727;1.51572727272727;5.7986"
"144;""Mali"";""MLI"";0.814454545454545;948.409940038597;58.646625;-38070.625;27.05;15.8728431182393;1056.59185090909;2.71585669090909;3.08472727272727;4.3456"
"145;""Malta"";""MLT"";0.232090909090909;31568.7259916109;82.2682926829268;9952.625;65.9;1476.21284722222;70704.5888181818;0.470959791818182;2.06163636363636;6.5138"
"147;""Mauritania"";""MRT"";0.849818181818182;1790.70052692375;64.741375;-2812.25;33.4;4.04389648890182;3501.2116;2.15874995454545;2.96527272727273;4.3759"
"148;""Mauritius"";""MUS"";0.475909090909091;10270.8167908423;74.2879268292683;-2183.75;31.65;632.924831691982;18180.4291818182;0.158135727272727;-0.126090909090909;5.8472"
"149;""Mexico"";""MEX"";0.646545454545455;10564.9601083529;73.88975;-52599;64.125;63.0078826330124;18062.7953636364;0.548712478181818;0.934272727272727;6.5544"
"157;""Mongolia"";""MNG"";0.686363636363636;4307.03401261412;70.29925;6225.71428571429;54.4;1.9889536832687;17380.0842727273;0.718183332727273;1.838;5.3576"
"158;""Montenegro"";""MNE"";0.528545454545455;8407.05964047469;76.4704268292683;-1719.375;58.7;46.21746385791;17377.2855454545;1.47191924545455;0.083;5.4563"
"159;""Morocco"";""MAR"";0.658545454545455;3426.30770596591;73.3375;-70515.75;59.3;79.5093589264819;6754.85234545455;3.36331236363636;1.10172727272727;5.0632"
"160;""Mozambique"";""MOZ"";0.543727272727273;556.074475067112;59.19875;19726.875;25.65;36.3641551582356;1801.77267272727;1.39845187272727;2.94427272727273;4.78222222222222"
"161;""Myanmar"";""MMR"";0.543090909090909;1273.56692593894;65.854;-88372.25;23.675;80.0467012598775;2477.51996363636;3.60059679090909;0.744181818181818;4.3769"
"162;""Namibia"";""NAM"";0.241545454545455;4718.91438373455;61.460125;-8058.625;39.4;2.87325162862823;7529.30141818182;3.504364;2.71845454545455;4.58833333333333"
"164;""Nepal"";""NPL"";0.654909090909091;1088.12338200771;68.621875;-115677.75;20.1;197.823060884393;1334.58463636364;1.31372244545455;0.670454545454545;5.0363"
"165;""Netherlands"";""NLD"";0.0202727272727273;53908.2501874851;81.6408536585366;57971.75;57.15;509.197198975026;58136.3321818182;1.2463056;0.634454545454545;7.4073"
"166;""New Zealand"";""NZL"";0.00872727272727273;44030.8977539861;81.7513414634146;54887.75;64.875;18.2198000666726;51156.6192727273;1.12840652181818;1.45454545454545;7.2494"
"167;""Nicaragua"";""NIC"";0.896454545454546;2107.77471871085;73.126;-21537.125;57.25;53.8649862426828;3437.21117272727;0.628120350909091;1.31845454545455;6.0954"
"168;""Niger"";""NER"";0.539272727272727;564.014719549786;61.587375;297.875;21.25;17.2293548415393;482.832962727273;1.61445082;3.45809090909091;4.4567"
"169;""Nigeria"";""NGA"";0.931909090909091;2235.45246245989;52.25475;-51772;27.925;212.724105854265;2403.21420909091;0.569939121818182;2.309;4.9534"
"172;""North Macedonia"";""MKD"";0.686636363636364;6573.80781265171;75.6567073170732;-1170.875;57.4;82.1184906159133;15612.7841363636;1.19921174090909;-0.912454545454546;5.1845"
"173;""Norway"";""NOR"";0.00863636363636364;85493.899300696;82.5125;26511.375;57.65;14.4210649080847;103062.952272727;1.65154610909091;0.855818181818182;7.4567"
"175;""Oman"";""OMN"";0.255454545454545;19983.9613105634;77.368;21649.625;61.5;14.0820111290612;82240.4778181818;8.02783459090909;2.93181818181818;6.853"
"178;""Pakistan"";""PAK"";0.897909090909091;1401.21886865297;65.976875;-1632117.5;27.35;281.941359946497;4018.3644;3.26746944545455;1.58509090909091;5.1075"
"182;""Paraguay"";""PRY"";0.802636363636364;6074.75954775915;73.296875;-15674.125;52.5;15.9946835584641;7360.18832727273;0.957802007272727;1.34545454545455;5.6971"
"183;""Peru"";""PER"";0.537636363636364;6801.0953032761;75.427375;73093;56.65;24.8170069444444;9571.86072727273;1.34779440909091;1.24481818181818;5.7205"
"184;""Philippines"";""PHL"";0.759090909090909;3201.33723966407;71.47875;-49627.125;26.725;357.995395989611;4657.79035454545;1.18608028181818;1.19009090909091;5.6298"
"185;""Poland"";""POL"";0.106272727272727;15841.337335189;77.4582317073171;-11712;57.625;123.960111767904;30337.5853636364;2.14387388181818;0.107909090909091;6.1081"
"186;""Portugal"";""PRT"";0.114363636363636;22757.9806795722;81.1865853658537;1833.75;56.725;112.888813763025;27503.3541818182;1.39740621818182;-0.0490909090909091;5.6377"
"190;""Qatar"";""QAT"";0.385818181818182;74842.7549358296;80.188125;68001.125;70.85;222.154610095485;213333.11;6.47628025;3.92845454545455;6.4218"
"193;""Romania"";""ROU"";0.396909090909091;12378.5928916088;75.0780487804878;-37840.75;56.875;85.1088223972896;19286.2283636364;1.64361677272727;-0.484;6.0313"
"194;""Russian Federation"";""RUS"";0.725818181818182;12142.6048473011;71.7116768292683;333938.125;56.525;8.80205102955842;56667.9490909091;4.3475542;0.0481818181818182;5.6921"
"195;""Rwanda"";""RWA"";0.405636363636364;804.025048626934;65.7255;-9663.375;24.15;496.550394090889;427.04045;1.26049759090909;2.29554545454545;3.3985"
"199;""Saudi Arabia"";""SAU"";0.422181818181818;28634.3317586337;76.91;15886.625;68.875;15.8555316244564;99040.5845454545;8.92416199090909;1.82372727272727;6.436"
"200;""Senegal"";""SEN"";0.306727272727273;1439.54250909336;67.409875;-26200;27.575;78.902412899577;2369.53485454545;1.46405130909091;2.76636363636364;4.6953"
"201;""Serbia"";""SRB"";0.674636363636364;7970.63922664408;75.4176829268293;4635.25;56.425;80.9016760911012;25062.5831818182;2.05723301818182;-0.701636363636364;5.7285"
"203;""Sierra Leone"";""SLE"";0.694636363636364;896.742917977415;58.345625;638.25;26.9;106.453800683477;633.422597272727;0.573088378181818;2.31236363636364;4.0528"
"204;""Singapore"";""SGP"";0.00872727272727273;67130.075222869;83.0981707317073;42298.875;31.375;7814.10290073027;166579.249090909;2.84949518181818;0.759;6.5058"
"207;""Slovenia"";""SVN"";0.104818181818182;25451.2567765171;80.9774390243903;5716.25;55.45;103.11647050358;37554.0184545455;1.08707020909091;0.278909090909091;6.2287"
"210;""Somalia"";""SOM"";0.915181818181818;502.50800776452;55.386875;31151.25;27.525;23.7471236579137;224.220167272727;0.910245068181818;3.55736363636364;5.06025"
"212;""South Africa"";""ZAF"";0.459090909090909;6453.45880142551;64.639125;25465.875;52.85;46.8192820721372;24231.2689090909;0.914901204545455;1.45181818181818;4.9037"
"216;""Spain"";""ESP"";0.0493636363636364;29296.1499964206;83.1682926829268;114157.625;61.075;93.6794149571562;33151.249;1.28746476363636;0.181818181818182;6.3982"
"217;""Sri Lanka"";""LKA"";0.559909090909091;3976.81183451689;75.3375;-96935.625;22.3;347.696689429653;4499.65502727273;1.89661685454545;0.729090909090909;4.3317"
"228;""Sweden"";""SWE"";0.00772727272727273;55217.7185296735;82.394512195122;78888.125;55.8;24.6332600388907;60739.3329090909;1.15676114545455;0.926181818181818;7.3435"
"229;""Switzerland"";""CHE"";0.0215454545454545;88015.5811334375;83.3381097560976;60917;53.7;213.217071995526;37996.6209090909;0.682880316363636;0.920454545454545;7.45"
"233;""Tajikistan"";""TJK"";0.894272727272727;941.07772311154;69.491;-14474.5;44.25;64.3085810942749;4392.09381818182;1.297904447;2.33581818181818;5.2652"
"234;""Tanzania"";""TZA"";0.351181818181818;1060.06008078835;65.350125;33760.125;26.7;63.5377594641379;1010.55905636364;1.09018525818182;3.09681818181818;3.5606"
"235;""Thailand"";""THA"";0.698181818181818;6600.68921522362;78.196125;40613.25;31.1;138.505899943671;19665.6991818182;1.32989372727273;0.262454545454545;6.1127"
"237;""Togo"";""TGO"";0.738363636363636;850.324267799425;59.852125;-1866.125;27.2;144.551024493882;1146.15177272727;2.13605268181818;2.445;3.8478"
"239;""Trinidad and Tobago"";""TTO"";0.113909090909091;18686.2975646478;74.203375;2223.625;44.95;289.538184968594;134208.252727273;0.796048440909091;0.608454545454545;6.18"
"240;""Tunisia"";""TUN"";0.378090909090909;3871.1225755535;75.73225;-21856.5;60.675;75.9462931971622;9799.18404545455;2.22941223636364;0.911636363636364;4.6065"
"245;""Uganda"";""UGA"";0.785636363636364;854.860111120523;61.697;12042.75;21.65;200.969541968659;632.853895454546;1.47449641;3.16372727272727;4.2576"
"246;""Ukraine"";""UKR"";0.722454545454545;3504.17502663352;71.423506097561;-25199.875;57.8;77.2360402120351;21671.2974090909;8.52888308181818;-1.90663636363636;4.6"
"247;""United Arab Emirates"";""ARE"";0.115727272727273;45456.5347810581;79.28225;-10862.375;66.925;127.619005600926;133179.761818182;5.83916905;3.16790909090909;6.6953"
"248;""United Kingdom"";""GBR"";0.0433636363636364;44195.5866781281;81.0862804878049;241555.875;62.95;272.310833252961;32502.1890909091;2.08300538181818;0.649727272727273;6.8891"
"249;""United States"";""USA"";0.0730909090909091;64300.2419080532;78.4698170731707;1206925.5;67.15;35.4938013001359;77914.9212727273;3.47675302727273;0.709454545454545;6.9481"
"251;""Uruguay"";""URY"";0.0540909090909091;18638.2782516329;77.60425;-3584;62.125;19.5040712807425;13840.6270909091;1.95226112727273;0.128272727272727;6.4606"
"252;""Uzbekistan"";""UZB"";0.818454545454545;2403.00200767878;70.661;-39197.25;47.15;73.8617001771718;17092.9895454545;2.8666198;1.818;6.094"
"256;""Viet Nam"";""VNM"";0.498909090909091;3231.55751753151;74.10675;-3978.125;17.375;299.849685319774;10763.9279727273;1.83916638333333;1.015;5.3828"
"260;""Zambia"";""ZMB"";0.372181818181818;1375.10685436653;61.65175;16380.375;26.975;23.3022630561796;1940.89054545455;1.34309031818182;2.97436363636364;4.1998"
"261;""Zimbabwe"";""ZWE"";0.776909090909091;1871.23893551608;60.0925;-56172.625;37.55;38.1542943719214;2906.46753636364;1.31245136181818;1.53727272727273;3.6017"
